specimen,family,name,species,gender,p2.1,p2.2,p2.3,p3.1,p3.2,p3.3,p4.1,p4.2,p4.3,m1.1,m1.2,m1.3,m2.1,m2.2,m2.3,m3.1,m3.2,m3.3
FMNH 134489,Cervidae,Dama dama,Dama dama,,6.13,6.262,5.989,6.722,6.848,6.397,7.708,7.882,7.353,9.367,9.339,9.205,10.508,11.267,10.889,11.271,11.795,10.265
FMNH 56487,Cervidae,Rusa marianna francianus,Rusa marianna,,5.162,4.824,4.792,7.265,7.454,7.138,9.321,9.063,9.314,10.119,9.971,9.971,11.522,11.509,11.552,10.812,10.632,10.91
FMNH 56431,Cervidae,Rusa marianna francianus,Rusa marianna,,5.471,5.508,5.23,6.38,6.227,6.641,7.741,7.792,7.329,8.986,8.832,8.986,10.538,10.11,10.573,9.446,9.279,10.561
FMNH 61013,Cervidae,Rusa marianna apoensis ,Rusa marianna,,5.724,5.758,5.051,5.77,5.924,6.089,7.254,7.664,7.448,9.544,9.913,9.64,10.238,10.15,10.425,9.012,9.057,9.3
FMNH 56432,Cervidae,Rusa marianna francianus,Rusa marianna,,5.741,6.16,6.348,8.017,7.957,7.737,8.008,8.278,8.468,9.862,9.866,10.106,10.353,10.471,10.607,9.934,9.955,10.017
FMNH 62808,Cervidae,Cervus porcinus calamianensis,Axis porcinus,,4.835,4.927,5.266,5.879,5.877,6.03,7.001,7.46,6.969,8.043,8.512,8.001,10.011,9.637,9.723,9.587,10.008,10.091
FMNH 25700,Cervidae,Cervus porcinus porcinus ,Axis porcinus,,4.918,5.366,4.918,5.87,6.037,6.037,6.715,6.618,6.451,9.019,8.45,8.916,9.179,9.179,9.121,9.032,8.955,9.313
FMNH 105564,Cervidae,Cervus porcinus porcinus ,Axis porcinus,,4.967,5.188,5.198,6.034,6.099,6.26,6.936,6.654,6.766,8.888,9.342,9.039,10.106,9.886,9.986,10.995,10.818,10.949
FMNH 27449,Cervidae,Cervus porcinus porcinus ,Axis porcinus,,3.839,3.844,9.867,4.539,5.325,5.126,5.788,5.268,5.428,7.885,8.001,8.311,8.527,8.707,8.596,8.384,8.269,8.521
FMNH 28299,Cervidae,Ozotoceros bezoarticus campestris ,Ozotoceros bezoarticus,,3.941,3.941,3.871,6.315,6.542,6.374,7.151,7.466,7.466,8.501,8.351,8.745,9.668,9.536,9.536,9.018,9.37,8.879
FMNH 29185,Cervidae,Ozotoceros bezoarticus campestris ,Ozotoceros bezoarticus,,3.634,3.859,3.909,5.962,5.889,5.848,6.831,5.843,6.854,8.187,8.166,8.413,9.209,8.857,8.714,7.607,7.708,7.507
FMNH 26557,Cervidae,Ozotoceros bezoarticus campestris ,Ozotoceros bezoarticus,,4.509,4.306,4.202,5.261,5.449,5.473,6.972,6.841,6.706,8.172,8.087,7.935,9.533,9.395,8.916,8.777,8.781,8.496
FMNH 28301,Cervidae,Ozotoceros bezoarticus campestris ,Ozotoceros bezoarticus,,4.601,4.545,4.557,6.455,6.969,6.721,6.826,7.162,6.198,9.296,8.8,8.55,9.504,10.042,9.358,9.057,9.385,9.422
FMNH 14465,Cervidae,Odocoileus hemionus crooki,Odocoileus hemionus,,6.022,5.984,5.951,7.554,7.143,7.352,9.01,9.414,9.044,10.666,11.357,10.817,10.908,11.388,11.628,9.893,10.076,10.176
FMNH 18999,Cervidae,Odocoileus hemionus fuliginatus,Odocoileus hemionus,,4.663,5.134,5.038,5.805,5.98,5.874,6.906,7.076,7.296,8.65,9.139,9.032,9.343,9.412,8.689,9.358,9.356,8.757
FMNH 14433,Cervidae,Odocoileus hemionus crooki,Odocoileus hemionus,,5.545,5.173,5.319,9.353,9.183,9.387,9.164,9.245,9.55,10.946,11.123,10.825,10.907,10.712,11.004,11.09,10.747,11.112
FMNH 1517,Cervidae,Odocoileus hemionus hemionus ,Odocoileus hemionus,,5.459,5.647,5.279,7.509,7.674,8.8038,9.012,9.186,8.387,11.223,11.142,10.936,11.844,11.746,11.566,9.341,10.101,9.793
