specimen,family,name,species,gender,p2.1,p2.2,p2.3,p3.1,p3.2,p3.3,p4.1,p4.2,p4.3,m1.1,m1.2,m1.3,m2.1,m2.2,m2.3,m3.1,m3.2,m3.3
FMNH 92238,Camelidae,Camelus dromedarius,Camelus dromedarius,Unknown,,,,,,,15.833,15.801,15.545,25.364,25.225,25.021,32.788,33.022,32.971,50.486,50.313,50.428
FMNH 92239,Camelidae,Camelus dromedarius,Camelus dromedarius,Unknown,,,,,,,14.223,14.067,13.952,24.175,24.479,24.066,34.15,34.093,34.128,46.877,47.057,47.977
FMNH 134553,Bovidae,Capra falconeri,Capra falconeri,Unknown,6.669,6.714,6.764,9.091,9.315,9.007,10.753,10.943,10.753,11.781,11.661,11.995,16.221,16.994,16.638,28.588,28.016,28.588
FMNH 129757,Bovidae,Capra hircus aegagrus,Capra aegagrus,Male,6.137,6.193,6.129,8.423,8.734,8.448,10.391,10.548,10.242,12.733,12.419,12.729,15.868,15.81,15.536,22.687,22.774,23.164
FMNH 97928,Bovidae,Capra hircus aegagrus,Capra aegagrus,Male,5.456,5.671,5.838,8.828,8.838,8.691,9.146,9.299,9.335,11.259,11.422,10.946,13.449,13.768,13.614,21.703,21.832,21.856
FMNH 134310,Bovidae,Capra nubiana,Capra nubiana,Male,4.179,4.179,4.136,7.093,7.192,7.006,7.388,7.458,7.388,11.418,11.604,11.301,14.929,14.902,15.054,22.548,22.478,22.736
FMNH 21717,Bovidae,Capra pyrenaica,Capra pyrenaica,Male,5.009,5.009,4.852,7.748,7.798,7.675,9.553,9.881,9.766,12.485,12.795,13.086,14.745,14.853,14.876,20.883,20.815,20.842
FMNH 134540,Bovidae,Capra sibirica,Capra sibirica,Male,4.714,5.273,5.273,7.485,7.472,7.298,8.925,8.863,8.757,13.619,13.473,13.497,17.949,17.787,18.051,30.881,30.677,30.403
FMNH 27109,Bovidae,Capra walie,Capra walie,Unknown,5.284,5.174,5.2,7.707,7.729,7.541,9.717,9.745,9.848,12.352,12.989,13.125,16.415,16.402,16.402,23.874,23.937,23.746
FMNH 1278,Cervidae,Capreolus capreolus pygargus,Capreolus capreolus,Male,7.95,7.818,7.821,12.023,11.949,12.301,13.305,12.934,12.884,12.68,12.529,12.441,14.29,13.99,13.855,19.34,19.624,19.579
FMNH 25648,Cervidae,Capreolus capreolus pygargus,Capreolus capreolus,Male,6.812,6.259,6.661,9.015,9.039,9.104,9.667,9.365,9.478,10.961,11.027,11.178,11.364,11.563,11.489,14.765,14.765,14.8
FMNH 25651,Cervidae,Capreolus capreolus pygargus,Capreolus capreolus,Female,11.127,11.012,11.349,12.159,12.159,12.159,13.493,13.964,13.567,13.793,14.201,13.945,14.794,14.542,14.346,17.882,17.943,18.043
FMNH 34287,Bovidae,Cephalophus callipygus,Cephalophus callipygus,Male,7.278,7.617,6.969,7.437,7.655,7.878,7.539,7.869,7.648,9.398,9.125,8.931,11.451,11.159,11.543,14.909,15.547,15.303
FMNH 27547,Bovidae,Cephalophus leucogaster,Cephalophus leucogaster,Male,6.774,7.102,6.997,7.645,7.535,7.645,8.409,8.627,8.956,8.961,8.754,8.552,10.389,10.366,10.412,13.609,13.639,13.861
